municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,id,headline,brief,occupation_group.label,occupation_field.label,employer.name,publication_date
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,c7ca62ac7f54c44f83f5d3c4e5506eda,Python Fullstack Developer,"Python Fullstack DeveloperMUST BE AUTHORIZED TO WORK IN SWEDEN. The position is located in our headquarters in central Stockholm, SwedenAre you a talented and motivated Python developer seeking a unique career opportunity in Stockholm?",,Unknown,,2024-10-21 00:00:00
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,f9bb5af1505dea1a784fa4fec39db768,Python Software Developer,Are you tired of working in monotonous environments? Seeking to level up with cutting-edge technologies and top-tier enterprises?,,Unknown,,2024-07-03 00:00:00
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,2ce95dbc8a8345170d24c06c231fce76,"Senior Systemutvecklare- python, aws","Söker vi en Senior Systemutvecklare (python, AWS)Vi söker dig som har god erfarenhet av CI/CD, versionshantering och -konfiguration av Pythonbibliotek. Du har under flera år främst arbetet med utveckling i Python.",,Unknown,,2024-11-20 00:00:00
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,81ac206dc70a7fc8762450c0dc430573,C++ / Python Developer,"Flightradar24 is looking for an experienced, well-rounded developer with both C++ and Python experience to expand our team in Stockholm, Sweden. You will play an important role in building and improving our back-end systems, processing very high volumes of aviation data like flight positions each day.",,Unknown,,2024-10-28 00:00:00
onpA_B5a_zfv,Täby,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,2afde82fc230077d56461954e8510bed,Python Developer - LiveArena Technologies,"LiveArena Technologies is looking to hire an experienced Python backend engineer to work on their video meeting and broadcasting tool in collaboration with Microsoft. This product is a fully automated solution that enables anyone to create compelling video streaming & audio content, optimizing & enhancing the capability of Microsoft Teams, LinkedIn live, YouTube broadcasting and beyond, through the use of AI to create professional-grade content, easier than ever before!",,Unknown,,2024-11-13 00:00:00
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,2afde82fc230077d56461954e8510bed,Python Developer - LiveArena Technologies,"LiveArena Technologies is looking to hire an experienced Python backend engineer to work on their video meeting and broadcasting tool in collaboration with Microsoft. This product is a fully automated solution that enables anyone to create compelling video streaming & audio content, optimizing & enhancing the capability of Microsoft Teams, LinkedIn live, YouTube broadcasting and beyond, through the use of AI to create professional-grade content, easier than ever before!",,Unknown,,2024-11-13 00:00:00
bm2x_1mr_Qhx,Linköping,oLT3_Q9p_3nn,Östergötlands län,i46j_HmG_v64,Sverige,08a607f2f7d7d1c754a23dc5d5ba7c4e,Mjukvaruutvecklare / C++ / Python,Om tjänstenPå Combine befinner vi oss i en viktig tillväxtfas och söker nu erfarna och seniora utvecklare till vårt kontor i Linköping. Den ökande efterfrågan från både kunder och partners driver vår expansion.,,Unknown,,2024-06-19 00:00:00
muSY_tsR_vDZ,Lund,CaRE_1nn_cSU,Skåne län,i46j_HmG_v64,Sverige,46eea55942f3a347ee91949a5c624683,Automotive SW Developer: Python & CI,"Join our dynamic team at ALTEN Gothenburg, Sweden, where we collaborate with leading automotive manufacturers on cutting-edge research and development projects. We're excited to expand our team of automotive software test engineers and invite passionate individuals like you to join us!",,Unknown,,2024-11-03 01:08:43
kicB_LgH_2Dk,Skellefteå,g5Tt_CAV_zBd,Västerbottens län,i46j_HmG_v64,Sverige,46eea55942f3a347ee91949a5c624683,Automotive SW Developer: Python & CI,"Join our dynamic team at ALTEN Gothenburg, Sweden, where we collaborate with leading automotive manufacturers on cutting-edge research and development projects. We're excited to expand our team of automotive software test engineers and invite passionate individuals like you to join us!",,Unknown,,2024-11-03 01:08:43
bm2x_1mr_Qhx,Linköping,oLT3_Q9p_3nn,Östergötlands län,i46j_HmG_v64,Sverige,97d8c3fc63958f2921c7772c37596ccb,Software Tester with Linux and Python Experience,"Do you have what it takes to thrive in the vibrant world of IT consulting? VIPAS AB, a burgeoning company, proudly invites you to embark on your next engaging project as ourAbout VIPAS :Imagine a world where your business technology perfectly aligns with your goals—efficient, scalable, and innovative.",,Unknown,,2024-09-26 00:00:00
